slug,nombre,provincia
concepcion,Concepción,Concepción
coronel,Coronel,Concepción
chiguayante,Chiguayante,Concepción
florida,Florida,Concepción
hualqui,Hualqui,Concepción
lota,Lota,Concepción
penco,Penco,Concepción
san-pedro-de-la-paz,San Pedro de la Paz,Concepción
santa-juana,Santa Juana,Concepción
talcahuano,Talcahuano,Concepción
tome,Tomé,Concepción
hualpen,Hualpén,Concepción
lebu,Lebu,Arauco
arauco,Arauco,Arauco
canete,Cañete,Arauco
contulmo,Contulmo,Arauco
curanilahue,Curanilahue,Arauco
los-alamos,Los Álamos,Arauco
tirua,Tirúa,Arauco
los-angeles,Los Ángeles,Biobío
antuco,Antuco,Biobío
cabrero,Cabrero,Biobío
laja,Laja,Biobío
mulchen,Mulchén,Biobío
nacimiento,Nacimiento,Biobío
negrete,Negrete,Biobío
quilaco,Quilaco,Biobío
quilleco,Quilleco,Biobío
san-rosendo,San Rosendo,Biobío
santa-barbara,Santa Bárbara,Biobío
tucapel,Tucapel,Biobío
yumbel,Yumbel,Biobío
alto-biobio,Alto Biobío,Biobío
