id_aviso,fuente,tipo_operacion,tipo_inmueble,titulo,precio_uf,precio_clp,comuna,provincia,superficie_m2,dormitorios,banos,url,fecha_primera_vista,fecha_ultima_vista,historial_precios,latitud,longitud
DEMO-01162,demo,venta,departamento,Depto 2D 1B en Concepción,3244.0,128138000,Concepción,Concepción,,2,1,https://example.invalid/demo/01162,2026-08-31,2026-09-01,2026-08-31:3244.0,-36.82822,-73.05089
DEMO-02089,demo,venta,casa,Casa 2D 1B en San Pedro de la Paz,3789.0,149665500,San Pedro de la Paz,Concepción,79 m²,2,1,https://example.invalid/demo/02089,2026-06-13,2026-06-21,2026-06-13:3789.0,-36.8426,-73.07797
DEMO-03040,demo,venta,casa,Casa 5D 3B en Tomé,3665.0,144767500,Tomé,Concepción,,5,3,https://example.invalid/demo/03040,2026-08-03,2026-09-01,2026-08-03:3665.0,-36.59576,-72.95524
DEMO-00585,demo,venta,departamento,Depto 4D 2B en Chiguayante,5864.0,231628000,Chiguayante,Concepción,109 m²,4,2,https://example.invalid/demo/00585,2026-08-17,2026-08-23,2026-08-17:5864.0,-36.91916,-73.0145
DEMO-01313,demo,venta,casa,Casa 3D 2B en Florida,1797.0,70981500,Florida,Concepción,93 m²,3,2,https://example.invalid/demo/01313,2026-07-18,2026-07-26,2026-07-18:1797.0,-36.8156,-72.65002
DEMO-00829,demo,venta,casa,Casa 2D 1B en Concepción,3480.0,137460000,Concepción,Concepción,78 m²,2,1,https://example.invalid/demo/00829,2026-08-11,2026-09-01,2026-08-11:3480.0,-36.82001,-73.05934
DEMO-01173,demo,venta,departamento,Depto 2D 1B en Concepción,3425.0,135287500,Concepción,Concepción,51 m²,2,1,https://example.invalid/demo/01173,2026-07-13,2026-09-01,2026-07-13:3596.0|2026-08-07:3425.0,-36.82555,-73.02811
DEMO-02336,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,4564.0,180278000,San Pedro de la Paz,Concepción,72 m²,3,2,https://example.invalid/demo/02336,2026-08-07,2026-09-01,2026-08-07:4564.0,-36.84491,-73.08747
DEMO-00371,demo,venta,casa,Casa 4D 2B en Chiguayante,0,0,Chiguayante,Concepción,129 m²,4,2,https://example.invalid/demo/00371,2026-07-04,2026-09-01,2026-07-04:0,-36.91206,-72.9911
DEMO-03147,demo,venta,departamento,Depto 2D 1B en Tomé,0,0,Tomé,Concepción,66 m²,2,1,https://example.invalid/demo/03147,2026-08-11,2026-09-01,2026-08-11:0,-36.61154,-72.95851
DEMO-02490,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,5262.0,207849000,San Pedro de la Paz,Concepción,78 m²,3,2,https://example.invalid/demo/02490,2026-07-28,2026-08-31,2026-07-28:5262.0,-36.84925,-73.09094
