url,cerca_biotren,cerca_colegio,cerca_parque,cerca_salud,cerca_supermercado,cerca_universidad,dist_biotren,dist_colegio,dist_parque,dist_salud,dist_supermercado,dist_universidad,sol_calidad,sol_calle,sol_edificios,sol_fuente,sol_horas_luz,sol_p10,sol_p3,sol_p6
https://example.invalid/demo/01162,Buses Delsal,Liceo de Niñas,,CruzBlanca,Supermercado Versluys,Casa Central Universidad Catolica de la Santisima Concepción,703,232,35,99,186,120,0.65,4.8,31,demo,9.5,7.2,5.7,7.0
https://example.invalid/demo/02089,Juan Pablo II,Escuela de Lenguaje Llacolén,,Ex Clínica Universitaria San Pedro,Santa Isabel,AIEP,1840,1101,635,1511,1386,2181,0.69,8.3,35,demo,9.5,9.2,9.0,9.2
https://example.invalid/demo/03040,,Escuela de Lenguaje Amanecer,,CESFAM Alberto Reyes,Unimarc,,5335,630,928,717,2619,,0.69,0.0,36,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/00585,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,Cruz Roja Filial Chiguayante,Super Ganga,,951,766,691,1362,1175,,0.77,4.2,35,demo,9.5,8.5,6.8,7.0
https://example.invalid/demo/01313,,,,,,,,,,,,,0.59,5.8,32,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/00829,Terminal de Buses Jota Ewert,Escuela Especial de Lenguaje Pequeños Amigos,Bandejón central Manuel Rodriguez,CITSALUD,Super Ganga,Colegio Bautista de Concepción,191,193,143,967,585,397,0.74,1.7,35,demo,9.5,9.5,5.0,9.5
https://example.invalid/demo/01173,Terminal de Buses Collao,Escuela Básica Lagos de Chile,Parque de la Virgen,SAMU,Il Patrone,Programa de Estudios sobre la Responsabilidad Social y Programa Talentos UdeC,1190,595,302,737,804,563,0.71,3.3,38,demo,9.5,6.3,6.0,6.0
https://example.invalid/demo/02336,Juan Pablo II,Escuela de Lenguaje Llacolén,Plaza San Pedro Histórico,Ex Clínica Universitaria San Pedro,Santa Isabel,AIEP,1177,513,521,632,611,3043,0.65,3.0,31,demo,9.5,7.5,4.2,7.0
https://example.invalid/demo/00371,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,Cruz Roja Filial Chiguayante,Supermercado Monika,,3092,2923,2916,3253,3353,,0.69,6.5,32,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/03147,,Escuela Básica Ignacio Serrano Montaner,Plazoleta Calle Las Lilas,Hospital de Tomé,Unimarc,,3662,212,214,401,885,,0.59,4.5,37,demo,9.5,9.5,8.8,9.0
